Company,Year,Culture War Event,Event Date,Industry,Ticker,Estimated Political Leaning,Political Leaning Justifications,NAICS Code,Control Firm,Control Ticker,Rationale
Nike,2018,Kaepernick campaign ('Believe in something') caused political backlash and brand support,9/3/18,Apparel/Sportswear,NKE,Liberal,"Liberal - Based on Morning Consult and Axios data; high Democrat favorability, backlash from conservatives over Kaepernick ad.",315210,Under Armour,UAA,"Same athletic apparel industry (NAICS 315990), similar customer base, no recent culture war backlash."
Bud Light,2023,Trans influencer Dylan Mulvaney partnership led to conservative boycott,4/1/23,Beverages/Alcohol,BUD,Conservative,Conservative - Traditional brand with Southern/rural appeal; backlash came from core conservative base over trans partnership.,312120,Molson Coors,TAP,"Same beer/brewing industry (NAICS 312120), publicly traded peer not involved in DEI controversy."
Target,2023,PRIDE collection backlash from conservative groups,5/22/23,Retail,TGT,Mixed,Mixed - Progressive policies (PRIDE collections) but mass-market retailer with bipartisan customer base; data mixed.,999999,Walmart,WMT,"Similar general merchandise retailer (NAICS 452311), remained largely apolitical during 2023."
Skittles,2023,'Black Trans Lives Matter' packaging criticized by conservatives,8/1/23,Food/Candy,MDLZ,Liberal,"Liberal - Owned by Mondelez, aligned with DEI messaging; packaging sparked conservative criticism.",999999,Hershey,HSY,"Same confectionery market (NAICS 311340), no comparable public controversy."
Calvin Klein,2024,Pulled back on PRIDE campaign after facing public criticism,6/1/24,Apparel,PVH,Liberal,"Liberal - Urban, fashion-forward brand with PRIDE campaigns; high liberal consumer affinity.",315210,Ralph Lauren,RL,"Apparel/lifestyle brand with similar market (NAICS 315220), low political exposure."
Starbucks,2018,'Race Together' anti-bias campaign faced ridicule,3/16/18,Food & Beverage,SBUX,Liberal,Liberal - High Democrat favorability (Morning Consult); history of progressive stances on race and labor.,999999,Dunkin',DNKN,"Coffee chain (NAICS 722515), owned by Inspire Brands, no comparable DEI backlash."
H&M,2018,'Coolest monkey' hoodie sparked racial outrage,1/8/18,Apparel,HNNMY,Liberal,Liberal - Fast fashion brand with urban/global appeal; PRIDE and social campaigns common.,315210,Gap Inc.,GPS,"Fast fashion peer (NAICS 448140), similar market exposure, less activist branding."
Gillette,2019,Toxic masculinity ad drew #MeToo-related backlash,1/13/19,Consumer Goods,PG,Liberal,Liberal - Toxic masculinity ad supported by liberal consumers; boycotted by conservative voices.,999999,Edgewell Personal Care,EPC,"Same shaving products segment (NAICS 325620), avoided political advertising."
Ben & Jerry’s,2021,Ended sales in Israeli-occupied territories; accused of antisemitism,7/19/21,Food/Ice Cream,UL,Liberal,"Liberal - Explicit progressive activism (Palestine, climate, equity); left-wing executive statements.",999999,Nestlé,NSRGY,"Ice cream competitor (NAICS 311520), broader portfolio, less visible activism."
Delta Air Lines,2018,Cut NRA discount; conservative backlash and state tax threat,2/25/18,Airlines,DAL,Conservative,Conservative - HQ in Georgia; backlash came from Republican lawmakers over NRA policy.,481111,United Airlines,UAL,"Same airline industry (NAICS 481111), similar customer profile, neutral on gun policy."
