poll_id,election_year,state,race_type,pollster,methodology,sample_size,margin_of_error,start_date,end_date,days_before_election,candidate_dem,candidate_rep,dem_pct,rep_pct,polling_margin,pollster_rating,partisan_pollster,actual_margin
1,2010,CA,Governor,Field Poll,Live Phone,1200,2.8,2010-10-14,2010-10-17,15,Jerry Brown,Meg Whitman,52.0,39.0,13.0,A,No,13.0
2,2010,CA,Governor,SurveyUSA,IVR,600,4.0,2010-10-25,2010-10-27,5,Jerry Brown,Meg Whitman,54.0,40.0,14.0,A-,No,13.0
3,2010,CA,Governor,PPP,IVR,1098,3.0,2010-10-28,2010-10-30,2,Jerry Brown,Meg Whitman,51.0,41.0,10.0,B+,No,13.0
4,2010,TX,Governor,UT/Texas Tribune,Live Phone,800,3.5,2010-10-15,2010-10-21,11,Bill White,Rick Perry,38.0,50.0,-12.0,A-,No,-12.7
5,2010,TX,Governor,Rasmussen,IVR,500,4.5,2010-10-27,2010-10-27,5,Bill White,Rick Perry,40.0,52.0,-12.0,C+,Yes,-12.7
6,2010,FL,Governor,Quinnipiac,Live Phone,1200,2.8,2010-10-20,2010-10-25,7,Alex Sink,Rick Scott,45.0,47.0,-2.0,A-,No,-1.2
7,2010,FL,Governor,SurveyUSA,IVR,600,4.0,2010-10-25,2010-10-27,5,Alex Sink,Rick Scott,47.0,46.0,1.0,A-,No,-1.2
8,2010,OH,Governor,Quinnipiac,Live Phone,1085,3.0,2010-10-19,2010-10-24,8,Ted Strickland,John Kasich,43.0,51.0,-8.0,A-,No,-2.0
9,2010,PA,Governor,Quinnipiac,Live Phone,1100,3.0,2010-10-18,2010-10-24,8,Dan Onorato,Tom Corbett,38.0,52.0,-14.0,A-,No,-9.2
10,2010,NY,Governor,Siena,Live Phone,804,3.5,2010-10-24,2010-10-27,5,Andrew Cuomo,Carl Paladino,60.0,32.0,28.0,A,No,28.4
11,2010,IL,Governor,PPP,IVR,979,3.1,2010-10-30,2010-10-31,1,Pat Quinn,Bill Brady,46.0,45.0,1.0,B+,No,0.9
12,2010,MI,Governor,EPIC-MRA,Live Phone,600,4.0,2010-10-25,2010-10-27,5,Virg Bernero,Rick Snyder,34.0,54.0,-20.0,B+,No,-18.2
13,2010,WI,Senate,PPP,IVR,1155,2.9,2010-10-28,2010-10-30,3,Russ Feingold,Ron Johnson,45.0,52.0,-7.0,B+,No,-4.8
14,2010,PA,Senate,Quinnipiac,Live Phone,1100,3.0,2010-10-18,2010-10-24,8,Joe Sestak,Pat Toomey,45.0,50.0,-5.0,A-,No,-2.0
15,2010,IL,Senate,PPP,IVR,956,3.2,2010-10-29,2010-10-30,2,Alexi Giannoulias,Mark Kirk,43.0,46.0,-3.0,B+,No,-1.6
16,2010,NV,Senate,Mason-Dixon,Live Phone,625,4.0,2010-10-25,2010-10-27,5,Harry Reid,Sharron Angle,47.0,45.0,2.0,B,No,5.6
17,2010,CO,Senate,SurveyUSA,IVR,568,4.2,2010-10-25,2010-10-27,5,Michael Bennet,Ken Buck,47.0,46.0,1.0,A-,No,1.7
18,2012,VA,Senate,PPP,IVR,1000,3.1,2012-10-25,2012-10-27,10,Tim Kaine,George Allen,50.0,46.0,4.0,B+,No,5.9
19,2012,MA,Senate,PPP,IVR,1100,3.0,2012-10-26,2012-10-28,9,Elizabeth Warren,Scott Brown,52.0,44.0,8.0,B+,No,7.4
20,2012,MT,Senate,PPP,IVR,863,3.3,2012-10-27,2012-10-28,9,Jon Tester,Denny Rehberg,49.0,47.0,2.0,B+,No,3.7
21,2012,ND,Senate,PPP,IVR,687,3.7,2012-10-27,2012-10-28,9,Heidi Heitkamp,Rick Berg,49.0,48.0,1.0,B+,No,0.9
22,2012,IN,Senate,Howey/DePauw,Live Phone,800,3.5,2012-10-24,2012-10-27,10,Joe Donnelly,Richard Mourdock,47.0,38.0,9.0,B-,No,5.8
23,2012,WI,Senate,Marquette,Live Phone,713,4.1,2012-10-24,2012-10-27,10,Tammy Baldwin,Tommy Thompson,49.0,46.0,3.0,A,No,5.6
24,2012,NC,Governor,PPP,IVR,1000,3.1,2012-10-27,2012-10-28,9,Walter Dalton,Pat McCrory,43.0,53.0,-10.0,B+,No,-11.4
25,2012,NH,Governor,UNH,Live Phone,574,4.1,2012-10-26,2012-10-30,6,Maggie Hassan,Ovide Lamontagne,50.0,43.0,7.0,A-,No,12.3
26,2014,CO,Senate,Quinnipiac,Live Phone,1242,2.8,2014-10-23,2014-10-27,8,Mark Udall,Cory Gardner,42.0,47.0,-5.0,A-,No,-1.9
27,2014,IA,Senate,Des Moines Register,Live Phone,838,3.4,2014-10-25,2014-10-28,6,Bruce Braley,Joni Ernst,44.0,51.0,-7.0,A+,No,-8.5
28,2014,NC,Senate,SurveyUSA,IVR,671,3.8,2014-10-27,2014-10-29,5,Kay Hagan,Thom Tillis,46.0,48.0,-2.0,A-,No,-1.7
29,2014,GA,Senate,SurveyUSA,IVR,651,3.8,2014-10-27,2014-10-29,5,Michelle Nunn,David Perdue,45.0,50.0,-5.0,A-,No,-7.9
30,2014,AK,Senate,Rasmussen,IVR,750,4.0,2014-10-28,2014-10-28,6,Mark Begich,Dan Sullivan,45.0,48.0,-3.0,C+,Yes,-2.2
31,2014,KS,Senate,SurveyUSA,IVR,614,4.0,2014-10-27,2014-10-29,5,Greg Orman,Pat Roberts,43.0,44.0,-1.0,A-,No,-10.7
32,2014,FL,Governor,Quinnipiac,Live Phone,1177,2.9,2014-10-22,2014-10-27,7,Charlie Crist,Rick Scott,43.0,45.0,-2.0,A-,No,-1.1
33,2014,PA,Governor,Quinnipiac,Live Phone,1249,2.8,2014-10-22,2014-10-27,7,Tom Wolf,Tom Corbett,54.0,36.0,18.0,A-,No,9.8
34,2014,WI,Governor,Marquette,Live Phone,1164,2.9,2014-10-23,2014-10-26,8,Mary Burke,Scott Walker,46.0,50.0,-4.0,A,No,-5.7
35,2014,MD,Governor,Gonzales Research,Live Phone,817,3.4,2014-10-24,2014-10-27,7,Anthony Brown,Larry Hogan,47.0,43.0,4.0,C+,No,-4.2
36,2014,IL,Governor,Tribune/WGN,Live Phone,600,4.0,2014-10-23,2014-10-27,7,Pat Quinn,Bruce Rauner,39.0,46.0,-7.0,B,No,-4.0
37,2014,TX,Governor,UT/Texas Tribune,Live Phone,1200,2.8,2014-10-17,2014-10-26,8,Wendy Davis,Greg Abbott,36.0,50.0,-14.0,A-,No,-20.4
38,2016,NH,Senate,UNH,Live Phone,739,3.6,2016-10-26,2016-10-31,7,Maggie Hassan,Kelly Ayotte,46.0,45.0,1.0,A-,No,0.1
39,2016,PA,Senate,Monmouth,Live Phone,402,4.9,2016-10-27,2016-10-30,8,Katie McGinty,Pat Toomey,45.0,46.0,-1.0,A+,No,-1.5
40,2016,NC,Senate,Monmouth,Live Phone,401,4.9,2016-10-27,2016-10-30,8,Deborah Ross,Richard Burr,45.0,47.0,-2.0,A+,No,-5.7
41,2016,WI,Senate,Marquette,Live Phone,1255,3.0,2016-10-26,2016-10-30,8,Russ Feingold,Ron Johnson,46.0,44.0,2.0,A,No,-3.4
42,2016,MO,Senate,Monmouth,Live Phone,402,4.9,2016-10-27,2016-10-30,8,Jason Kander,Roy Blunt,47.0,47.0,0.0,A+,No,-2.8
43,2016,IN,Senate,Monmouth,Live Phone,402,4.9,2016-10-27,2016-10-30,8,Evan Bayh,Todd Young,42.0,44.0,-2.0,A+,No,-9.7
44,2016,NV,Senate,Monmouth,Live Phone,404,4.9,2016-10-27,2016-10-30,8,Catherine Cortez Masto,Joe Heck,49.0,45.0,4.0,A+,No,2.4
45,2016,NC,Governor,SurveyUSA,IVR,745,3.6,2016-10-28,2016-10-30,8,Roy Cooper,Pat McCrory,49.0,46.0,3.0,A-,No,0.2
46,2016,IN,Governor,WTHR/Howey,Live Phone,600,4.0,2016-10-24,2016-10-26,12,John Gregg,Eric Holcomb,42.0,46.0,-4.0,B-,No,-6.0
47,2016,WV,Governor,MetroNews,Live Phone,408,4.9,2016-10-24,2016-10-27,11,Jim Justice,Bill Cole,52.0,35.0,17.0,C,No,6.7
48,2018,TX,Senate,UT/Texas Tribune,Live Phone,1200,2.8,2018-10-15,2018-10-23,13,Beto O'Rourke,Ted Cruz,45.0,51.0,-6.0,A-,No,-2.6
49,2018,TX,Senate,Quinnipiac,Live Phone,807,4.1,2018-10-24,2018-10-29,7,Beto O'Rourke,Ted Cruz,47.0,51.0,-4.0,A-,No,-2.6
50,2018,FL,Senate,Quinnipiac,Live Phone,847,4.0,2018-10-24,2018-10-28,8,Bill Nelson,Rick Scott,47.0,47.0,0.0,A-,No,-0.1
51,2018,AZ,Senate,Monmouth,Live Phone,404,4.9,2018-10-26,2018-10-29,7,Kyrsten Sinema,Martha McSally,48.0,45.0,3.0,A+,No,2.4
52,2018,NV,Senate,Emerson,IVR/Online,650,3.8,2018-10-28,2018-10-30,6,Jacky Rosen,Dean Heller,46.0,47.0,-1.0,B+,No,5.0
53,2018,MT,Senate,Emerson,IVR/Online,600,4.0,2018-10-28,2018-10-30,6,Jon Tester,Matt Rosendale,48.0,46.0,2.0,B+,No,3.5
54,2018,MO,Senate,Emerson,IVR/Online,800,3.5,2018-10-27,2018-10-29,7,Claire McCaskill,Josh Hawley,45.0,49.0,-4.0,B+,No,-5.8
55,2018,IN,Senate,Monmouth,Live Phone,404,4.9,2018-10-25,2018-10-28,8,Joe Donnelly,Mike Braun,43.0,44.0,-1.0,A+,No,-5.9
56,2018,FL,Governor,Quinnipiac,Live Phone,847,4.0,2018-10-24,2018-10-28,8,Andrew Gillum,Ron DeSantis,50.0,46.0,4.0,A-,No,-0.4
57,2018,GA,Governor,Monmouth,Live Phone,403,4.9,2018-10-25,2018-10-28,8,Stacey Abrams,Brian Kemp,47.0,47.0,0.0,A+,No,-1.4
58,2018,OH,Governor,Emerson,IVR/Online,750,3.6,2018-10-27,2018-10-30,6,Richard Cordray,Mike DeWine,46.0,48.0,-2.0,B+,No,-4.0
59,2018,WI,Governor,Marquette,Live Phone,1000,3.6,2018-10-24,2018-10-28,8,Tony Evers,Scott Walker,50.0,46.0,4.0,A,No,1.1
